run_id,seed,baseline,chunk,loss,macro_f1,strategy,budget,fitness,faci_scalar,runtime_s,mem_peak_mb
5,101112,Hybrid GA + GWO,0,0.6305845230817795,0.12613656310338775,Hybrid,4,0.7648515349681615,0.18580174038176062,4.554830551147461,0.44119834899902344
5,101112,Hybrid GA + GWO,1,1.5902982652187347,0.13168753306295186,Hybrid,4,0.7974742417731725,0.20799181784471316,5.311642408370972,0.5688381195068359
5,101112,Hybrid GA + GWO,2,0.6107697486877441,0.2597664821192438,Hybrid,3,0.8178494416129364,0.20471263801542872,5.3834006786346436,0.6163759231567383
5,101112,Hybrid GA + GWO,3,0.5952064096927643,0.23242151282082535,Hybrid,3,0.8178494416129364,0.21055895749494158,4.874201536178589,0.6528387069702148
5,101112,Hybrid GA + GWO,4,0.7564131915569305,0.24296811562821413,Hybrid,3,0.8178494416129364,0.2316749610847065,5.494797706604004,0.7341413497924805
5,101112,Hybrid GA + GWO,5,1.4976949989795685,0.3350980972098984,Hybrid,3,0.8178494416129364,0.2032052433952387,5.133347988128662,0.7341413497924805
5,101112,Hybrid GA + GWO,6,1.4485544264316559,0.3872219085262564,Hybrid,3,0.8178494416129364,0.19549980301584574,5.216747999191284,0.7366132736206055
5,101112,Hybrid GA + GWO,7,1.4075345695018768,0.3496470920383964,Hybrid,3,0.8205983801741862,0.1866022447613637,4.901768684387207,0.7645111083984375
5,101112,Hybrid GA + GWO,8,1.3606630265712738,0.4174144581311435,Hybrid,3,0.8205983801741862,0.22846403355711428,5.318252086639404,0.7918329238891602
5,101112,Hybrid GA + GWO,9,1.3276174068450928,0.40444047442151393,Hybrid,3,0.8205983801741862,0.22206263391307676,5.417264938354492,0.8197765350341797
5,101112,Hybrid GA + GWO,10,1.2514016032218933,0.44765588619973357,Hybrid,3,0.8205983801741862,0.22340436350510612,5.296831130981445,0.8461265563964844
5,101112,Hybrid GA + GWO,11,1.1914722621440887,0.4671151563533996,Hybrid,3,0.8205983801741862,0.20469900551641196,4.979213714599609,0.8740701675415039
5,101112,Hybrid GA + GWO,12,1.1372289955615997,0.4644659348983258,Hybrid,3,0.8300277252472946,0.20458059736937861,5.174727201461792,0.901580810546875
5,101112,Hybrid GA + GWO,13,1.0287637561559677,0.444888387087998,Hybrid,3,0.8300277252472946,0.19178560024171287,5.298234701156616,0.9281902313232422
5,101112,Hybrid GA + GWO,14,1.0897035896778107,0.4360065909875409,Hybrid,3,0.8300277252472946,0.20085791827098615,5.293959140777588,1.0983657836914062
